Identifier,Longitude,Latitude,State,County
C6098,-96.51007,45.303652,South Dakota,Grant County
C6101,-105.3815,44.290128,Wyoming,Campbell County
C6113,-87.76583,38.372222,Indiana,Gibson County
C6137,-87.715,37.9053,Indiana,Posey County
C6138,-94.5241,36.2561,Arkansas,Benton County
C6139,-94.83999,33.05522,Texas,Titus County
C6146,-94.5706,32.2606,Texas,Rusk County
C6155,-90.26316,38.131248,Missouri,Jefferson County
C6165,-111.0289,39.1747,Utah,Emery County
C6166,-87.0372,37.9256,Indiana,Spencer County
C6177,-109.2708,34.5789,Arizona,Apache County
C6178,-97.21417,28.7128,Texas,Goliad County
C6179,-96.7506,29.9172,Texas,Fayette County
C6180,-96.4866,31.1803,Texas,Robertson County
C6181,-98.3228,29.308056,Texas,Bexar County
C6183,-98.4775,28.7044,Texas,Atascosa County
C6190,-92.71667,31.395,Louisiana,Rapides Parish
C6193,-101.7472,35.29816,Texas,Potter County
C6194,-102.57,34.186494,Texas,Lamb County
C6195,-93.38804,37.151706,Missouri,Greene County
C6204,-104.8825,42.108889,Wyoming,Platte County
C6213,-87.5108,39.0694,Indiana,Sullivan County
C6248,-103.6803,40.2217,Colorado,Morgan County
C6249,-79.35724,33.33184,South Carolina,Georgetown County
C6250,-78.8917,36.5278,North Carolina,Person County
C6254,-92.55583,41.0961,Iowa,Wapello County
C6257,-83.8075,33.0606,Georgia,Monroe County
C6264,-81.9344,38.9794,West Virginia,Mason County
C6469,-101.8357,47.370542,North Dakota,Mercer County
C6481,-112.5802,39.509731,Utah,Millard County
C6639,-87.5,37.6461,Kentucky,Webster County
C6641,-91.40876,35.678442,Arkansas,Independence County
C6664,-91.0931,41.3181,Iowa,Louisa County
C6705,-87.3328,37.915,Indiana,Warrick County
C6761,-105.0212,40.860905,Colorado,Larimer County
C6768,-89.6209,36.8791,Missouri,Scott County
C6772,-95.3206,34.0158,Oklahoma,Choctaw County
C6823,-87.0806,37.4497,Kentucky,Ohio County
C7030,-96.69503,31.091925,Texas,Robertson County
C7097,-98.3203,29.309722,Texas,Bexar County
C7213,-78.704,36.869,Virginia,Halifax County
C7242,-81.9897,27.7286,Florida,Polk County
C7343,-96.3617,42.3006,Iowa,Woodbury County
C7504,-105.3833,44.2856,Wyoming,Campbell County
C7790,-109.2844,40.0864,Utah,Uintah County
C7902,-94.4852,32.4607,Texas,Harrison County
C8023,-89.4203,43.4864,Wisconsin,Columbia County
C8042,-80.0603,36.2811,North Carolina,Stokes County
C8066,-108.7875,41.7378,Wyoming,Sweetwater County
C8069,-111.0781,39.3792,Utah,Emery County
C8102,-82.1158,38.9347,Ohio,Gallia County
C8219,-104.7058,38.633451,Colorado,El Paso County
C8222,-101.8157,47.221447,North Dakota,Mercer County
C8223,-109.1639,34.3186,Arizona,Apache County
C8224,-117.1516,40.881317,Nevada,Humboldt County
C8226,-79.7906,40.5383,Pennsylvania,Allegheny County
C10043,-75.40667,39.7928,New Jersey,Gloucester County
C10075,-90.9114,47.5314,Minnesota,Cook County
C10113,-76.1983,40.7903,Pennsylvania,Schuylkill County
C10143,-78.8,40.55,Pennsylvania,Cambria County
C10151,-80.16314,39.561831,West Virginia,Marion County
C10234,-89.78,44.43,Wisconsin,Wood County
C10343,-76.45295,40.811189,Pennsylvania,Northumberland County
C10504,-114.4328,42.5328,Idaho,Twin Falls County
C10566,-75.48581,39.693494,New Jersey,Salem County
C10603,-78.7472,40.455,Pennsylvania,Cambria County
C10671,-94.6458,35.1931,Oklahoma,Le Flore County
C10678,-78.74533,39.595171,Maryland,Allegany County
C10684,-117.3833,35.765,California,San Bernardino County
C10743,-79.96056,39.6397,West Virginia,Monongalia County
C10784,-106.6547,45.9752,Montana,Rosebud County
C10849,-91.26053,47.286573,Minnesota,Lake County
C10860,-90.2097,41.8206,Iowa,Clinton County
C10861,-93.58452,41.624438,Iowa,Polk County
C10862,-96.61449,40.866463,Nebraska,Lancaster County
C10863,-93.99242,44.187066,Minnesota,Blue Earth County
C10864,-91.6875,41.9221,Iowa,Linn County
C10865,-88.89076,39.870074,Illinois,Macon County
C10867,-88.93194,39.84919,Illinois,Macon County
C50397,-76.86812,39.870935,Pennsylvania,York County
C50481,-82.5431,36.5219,Tennessee,Sullivan County
C50611,-76.45,40.6191,Pennsylvania,Schuylkill County
C50776,-75.8781,40.8556,Pennsylvania,Carbon County
C50835,-86.28905,44.217299,Michigan,Manistee County
C50888,-75.4792,40.6917,Pennsylvania,Northampton County
C50900,-79.9947,37.799722,Virginia,Alleghany County
C50933,-89.4205,45.6394,Wisconsin,Oneida County
C50951,-110.3917,39.5472,Utah,Carbon County
C50974,-79.8134,41.2691,Pennsylvania,Venango County
C54098,-88.2534,44.2826,Wisconsin,Outagamie County
C54210,-97.06311,47.437562,North Dakota,Traill County
C54211,-96.76112,46.9026,Minnesota,Clay County
C54212,-96.63338,47.76468,Minnesota,Polk County
C54213,-97.17608,48.593158,North Dakota,Pembina County
C54214,-97.00715,47.927202,Minnesota,Polk County
C54276,-79.0617,35.9069,North Carolina,Orange County
C54318,-109.7542,41.5933,Wyoming,Sweetwater County
C54533,-95.17979,44.796405,Minnesota,Renville County
C54556,-87.8233,41.7775,Illinois,Cook County
C54634,-76.1736,40.8222,Pennsylvania,Schuylkill County
C54867,-86.6443,46.4094,Michigan,Alger County
C55076,-89.2183,33.3761,Mississippi,Choctaw County
C55479,-105.3833,44.2858,Wyoming,Campbell County
C55749,-107.6,45.7578,Montana,Big Horn County
C55856,-89.66694,38.279167,Illinois,Washington County
C56068,-87.8336,42.8492,Wisconsin,Milwaukee County
C56224,-116.5297,40.7461,Nevada,Eureka County
C56319,-105.3811,44.2919,Wyoming,Campbell County
C56456,-89.9489,35.6644,Arkansas,Mississippi County
C56564,-93.81194,33.649722,Arkansas,Hempstead County
C56596,-105.3806,44.2919,Wyoming,Campbell County
C56609,-105.4608,44.388889,Wyoming,Campbell County
C56611,-96.95715,31.474378,Texas,McLennan County
C56671,-79.95897,39.707893,West Virginia,Monongalia County
C56808,-82.33806,36.916389,Virginia,Wise County
C57046,-97.28633,41.416442,Nebraska,Platte County
C57914,-104.1356,47.717222,Montana,Richland County
C57915,-109.8119,41.621667,Wyoming,Sweetwater County
C57928,-89.215,37.711944,Illinois,Jackson County
C57937,-103.6344,41.85887,Nebraska,Scotts Bluff County
C57949,-83.44722,43.741111,Michigan,Huron County
C62319,-108.4992,45.765346,Montana,Yellowstone County
