"registryid","population_center","population_center_state","population_center_dist","ret_facility_name","ret_facility_id","ret_facility_dist","road_name","road_dist","substation_name","substation_countyfips","substation_dist"
"110055377088","Aberdeen","SD","131564.204813535","Huron","3344","179393.920676686","US Hwy 81","27855.8084263135","UNKNOWN143493","46037","23658.0564860738"
"110038719553","East Palo Alto","CA","1113.24075146851","Lockheed Martin Sunnyvale","57808","14156.6714688812","Bayshore Fwy","2193.42081378293","COOLEY LANDING","06081","208.278576734988"
"110038723094","Lansing","MI","20610.3866345001","Erickson Station","1832","11678.3015711074","US Hwy 27","7867.33602075903","ONEIDA","26045","9772.84283733375"
"110015332335","Kalamazoo","MI","54981.8480156853","Palisades","1715","27187.5890679504","I- 196","21319.4171710908","UNKNOWN128725","26159","7751.80582638171"
"110070057751","Northampton","MA","59658.2865875412","Amherst College Co Gen","58185","46351.9026576556","State Rte 2","9271.46756965219","UNKNOWN157942","25011","9143.63649730712"
"110070560272","Newark","OH","2393.02790547977","Conesville","2840","60667.6891017341","State Rte 16","790.116979498271","UNKNOWN112977","39089","507.59915526723"
"110038753765","Lewiston","ME","51275.6089115027","Androscoggin Mill","54085","67185.3527251791","I- 95","3124.63814732312","UNKNOWN157947","23011","1113.42458856232"
"110038746453","Wichita","KS","4473.62670550331","Ponca","762","142992.520403943","US Hwy 81","1845.02665836463","UNKNOWN119286","20173","1226.40123208975"
"110046425301","Sioux City","IA","3509.00527361511","Angus Anson","7237","169053.259231797","I- 29","3236.84403678168","UNKNOWN130426","19193","2790.23917007722"
"110039138199","Winchester","VA","40297.0926207701","Dickerson","65284","45900.3026314806","State Rte 9","3061.28280339303","UNKNOWN172806","54037","2288.28536203823"
"110060555420","Superior","WI","147423.293768162","Moose Lake","1996","67367.0752176935","I- 35","63021.1071816718","UNKNOWN162453","27001","17886.3842030546"
"110056392425","Little Rock","AR","10618.6709856181","Lake Catherine","170","71613.5421096731","I- 630","3889.22543142888","UNKNOWN107774","05119","1020.29313932491"
"110070209824","Portland","ME","749.57000547447","Androscoggin Mill","54085","131049.204687113","I- 295","480.366778115591","UNKNOWN133124","23005","2922.12178708109"
"110043965206","Philadelphia","PA","10230.5394154021","Philadelphia Refinery","52106","17882.1929630133","Roosevelt Blvd","159.920799227302","WAYNE JUNCTION","42101","722.405186620887"
"110044764485","Southfield","MI","3179.5414486651","Hancock","1730","22551.116687317","State Hwy 10","3506.76245262964","SOUTHFIELD","26163","6047.88835535536"
"110040821242","Fremont","NE","64993.2702111433","North Omaha","2291","100724.05576227","I- 29","41125.197601028","UNKNOWN131759","31021","5591.25629763638"
"110038729944","West Little River","FL","4966.8061399137","Indiantown Cogeneration LP","50976","152992.238243535","I- 95","1142.3571969608","LEMON CITY","12086","905.648607503978"
"110038723593","Detroit","MI","1974.07635986391","River Rouge","1740","8571.33950224087","Fisher Fwy","295.073625839144","UNKNOWN128900","26163","3246.16114447144"
"110039058408","Wauwatosa","WI","7731.72930348816","South Oak Creek","4041","38383.1894788874","North-South Fwy","2870.25954670335","FIREBANTZ","55079","1829.90514784279"
"110071090694","Jamestown","NY","51315.2211968743","Erie Coke","50920","58610.5971821397","State Rte 17","33081.3265590071","UNKNOWN172978","42049","222.453523151117"
"110070789874","Evansville","IN","90432.9224158848","AES Petersburg","994","39612.1508737176","I- 64","26891.6890339354","CENTRAL","18037","1718.45772838452"
"110066849174","Farmington Hills","MI","6973.64396692661","Hancock","1730","13860.7905177753","I- 275","406.691470665472","SUNSET","26125","1588.50207082567"
"110038706111","Farmington","NM","181576.401384689","Nucla","527","94736.4684237368","I- 70","176640.605297741","UNKNOWN205925","08091","8525.27346346554"
"110038726812","Shoreline","WA","6560.06794021719","University of Washington Power Plant","54809","10972.6498018626","I- 5","869.453616479733","VIEWLAND-HOFFMAN","53033","2656.13686970513"
"110060373974","Orlando","FL","1881.71208173695","Stanton Energy Center","564","25605.9783497127","State Hwy 400","407.533291226964","AMERICA","12095","1465.19145909278"
"110063011985","Grand Rapids","MI","40594.5682488659","J B Sims","1825","79584.7865032415","US Hwy 131","2199.11525053136","UNKNOWN159031","26081","13391.9621010354"
"110064565322","North Royalton","OH","19232.6699713329","Akron Recycle Energy Plant","54265","23782.6923901303","State Rte 21","1017.7817099774","WEST RICHFIELD","39153","4023.57939311122"
"110070205685","Toledo","OH","8866.80552805983","Monroe (MI)","1733","36768.1860661947","I- 75","2748.05667023538","UNKNOWN113782","39095","2013.25503954772"
"110000329378","Plum","PA","10641.8312764626","Cheswick Power Plant","8226","6921.68999667491","State Rte 28","1119.3617574062","UNKNOWN123809","42003","524.109404914597"
"110060387674","Omaha","NE","3161.96363772318","North Omaha","2291","9383.16543771086","I- 480","390.139859654214","UNKNOWN131671","31055","738.720212758984"
"110043315588","Jackson","MI","1531.55726803449","Erickson Station","1832","72323.8871507032","US Hwy 127","3380.7349267047","UNKNOWN128612","26075","78.381467428943"
"110070507787","Fairfield","OH","18728.5893338634","Hamilton (OH)","2917","29368.1361332632","I- 75","1098.77132427784","UNKNOWN156786","39061","1765.58524944598"
"110038711793","Oakland","CA","2735.09461991444","SF State University","57043","25932.3159034227","Grove Shafter Fwy","393.863268549689","OAKLAND L","06001","62.3669872878577"
"110038759475","Shreveport","LA","4505.75571902631","Arsenal Hill","1416","4888.06333197546","I- 20","419.119228783042","MC WILLIE","22017","727.198699397683"
"110038695436","West Sacramento","CA","3705.82631144281","Greenleaf 1","10350","69985.9501762581","el Dorado Fwy","568.610946731143","WEST SACRAMENTO","06113","1758.66820352458"
"110067660481","Richmond","VA","3887.60184593062","Bellmeade Power Station","50966","3851.1181375411","Richmond-Petersburg Tpke","1296.37990449427","PIPELINE","51760","1243.55638407182"
"110070525746","Grand Junction","CO","115253.394981828","Nucla","527","77743.7969267572","I- 70","103566.469504544","BULLOCK","08085","1348.3162971735"
"110040720761","Danville","VA","2473.44521396072","Mecklenburg Power Station","52007","95431.4447888285","State Rte 265","2805.22724623779","UNKNOWN114449","51590","193.248967978886"
"110054627445","Tucson","AZ","8919.9775706411","H Wilson Sundt Generating Station","126","6010.45683132111","I- 19","3157.59251972951","DREXEL","04019","1514.82666563688"
"110043965108","Philadelphia","PA","10314.7045657219","Philadelphia Refinery","52106","17944.4081172137","Roosevelt Blvd","249.819843287263","WAYNE JUNCTION","42101","677.031075981757"
"110064565787","Jeffersonville","IN","6372.67176898596","R Gallagher","1008","6822.02046604136","I- 64","2056.21552111909","UNKNOWN130745","21111","636.151092485057"
"110070057612","Baton Rouge","LA","4219.33250276125","Georgia-Pacific Port Hudson","10612","27148.429527296","I- 110","143.06566496361","NORTHDALE","22033","475.936205000476"
"110071194873","Grand Forks","ND","211068.408921138","R M Heskett","2790","275933.77444107","I- 94","169105.341183253","UNKNOWN162638","38005","10486.3753695139"
"110038765832","Lancaster","PA","25053.5815585332","York Generation Company LLC","54693","19598.3297567315","US Hwy 30","2809.21391811999","UNKNOWN146565","42071","2821.15025596758"
"110063011066","Westland","MI","20974.8914055165","Trenton Channel","1745","42815.8899545276","Detroit Industrial Expy","1112.49708472726","UNKNOWN132768","26163","1918.17005475733"
"110038712480","Green Bay","WI","204943.170892758","West Marinette","4076","122195.028545657","US Hwy 41","124408.26761502","ARMORY","26043","925.667540603"
"110071089119","Jeffersonville","IN","6627.48316188483","Zorn","1368","8796.83983399378","I- 65","999.900030502415","UNKNOWN139031","18019","1478.80024393889"
"110071088914","Saratoga Springs","NY","69498.0550134593","Albany Medical Ctr Cogen Plant","59453","94374.4052454361","US Hwy 7","3539.57275815058","ARLINGTON","50003","782.686712178457"
"110038728516","West Little River","FL","5505.28097829591","Indiantown Cogeneration LP","50976","152453.748436769","I- 95","2044.8384902235","LEMON CITY","12086","214.949789975027"
"110038692983","Monroe","LA","2305.3452822282","NRG Sterlington Power","55099","24010.4570563338","I- 20","2010.53174140216","UNKNOWN112557","22073","1266.39400085235"
"110038761159","Buffalo","NY","3394.98414869621","General Mills Inc","54564","4884.99648286137","State Rte 33","159.367827374348","ELM ST","36029","2903.1260266026"
"110071089827","Toledo","OH","3344.09151441432","Monroe (MI)","1733","41880.8082904139","I- 75","211.892149001361","UNKNOWN156446","39095","1359.33159887265"
"110038707940","Farmington","NM","176282.357940708","Nucla","527","96523.1003627898","I- 70","181418.18011615","UNKNOWN205925","08091","4308.90731858937"
